ID,BANK,IFSC_CODE,MICR_CODE,BRANCH_NAME,CITY,DISTRICT,STATE
UTIB0000657,AXIS BANK LTD,UTIB0000657,NON-MICR,IMPHAL (MANIPUR),IMPHAL,IMPHAL EAST ,MANIPUR
UTIB0000658,AXIS BANK LTD,UTIB0000658,846211002,DARBHANGA-BIHAR,DARBHANGA,DARBHANGA,BIHAR
UTIB0000659,AXIS BANK LTD,UTIB0000659,144211502,BANGA (PUNJAB),BANGA,NAVANSAHAR ,PUNJAB
UTIB0000660,AXIS BANK LTD,UTIB0000660,211211003,CHOWK-ALLAHABAD (UTTAR PRADESH),ALLAHABAD,ALLAHABAD,UTTAR PRADESH
UTIB0000661,AXIS BANK LTD,UTIB0000661,400211058,KOPERKHAIRNE (MAHARASHTRA),MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000662,AXIS BANK LTD,UTIB0000662,NON-MICR,MORBI (GUJARAT),MORVI,RAJKOT,GUJARAT
UTIB0000663,AXIS BANK LTD,UTIB0000663,NON-MICR,SHIRDI (MAHARASHTRA),SHIRDI,AHMEDNAGAR ,MAHARASHTRA
UTIB0000664,AXIS BANK LTD,UTIB0000664,380211013,"BAPUNAGAR, AHMEDABAD",AHMEDABAD,AHMEDABAD ,GUJARAT
UTIB0000665,AXIS BANK LTD,UTIB0000665,NON-MICR,NAWANSHAHR (PUNJAB),NAWANSHAHR,NAVANSAHAR ,PUNJAB
UTIB0000666,AXIS BANK LTD,UTIB0000666,NON-MICR,SOLAN (HIMACHAL PRADESH),SOLAN,SOLAN,HIMACHAL PRADESH
UTIB0000667,AXIS BANK LTD,UTIB0000667,NON-MICR,DHAMTARI (CHATTISGARH),AMDI,DHAMTARI,CHHATTISGARH
UTIB0000668,AXIS BANK LTD,UTIB0000668,493211003,MAHASAMUND (CHATTISGARH),MAHASAMUND,MAHASAMUND,CHHATTISGARH
UTIB0000669,AXIS BANK LTD,UTIB0000669,144211502,RAJARHAT (WEST BENGAL),RAJARHAT,NORTH 24 PARGANAS,WEST BENGAL
UTIB0000670,AXIS BANK LTD,UTIB0000670,NON-MICR,CHINDWARA,CHHINDWARA,CHHINDWARA,MADHYA PRADESH 
UTIB0000671,AXIS BANK LTD,UTIB0000671,NON-MICR,"RAYYA, PUNJAB",RAYYA,AMRITSAR ,PUNJAB
UTIB0000672,AXIS BANK LTD,UTIB0000672,283211002,FIROZABAD,FIROZABAD,FIROZABAD,UTTAR PRADESH 
UTIB0000673,AXIS BANK LTD,UTIB0000673,NON-MICR,LAKHIMPUR-KHERI,LAKHIMPUR,LAKHIMPUR KHEDI ,UTTAR PRADESH 
UTIB0000674,AXIS BANK LTD,UTIB0000674,NON-MICR,PURNIA,PURNEA,PURNEA ,BIHAR
UTIB0000675,AXIS BANK LTD,UTIB0000675,110211059,SONIPAT,SONIPAT,SONIPAT,HARYANA
UTIB0000676,AXIS BANK LTD,UTIB0000676,600211023,"R A PURAM, CHENNAI",CHENNAI,CHENNAI,TAMIL NADU
UTIB0000677,AXIS BANK LTD,UTIB0000677,560211020,"ELECTRONIC CITY, BANGALORE ",BANGALORE,BANGALORE URBAN,KARNATAKA
UTIB0000678,AXIS BANK LTD,UTIB0000678,NON-MICR,BOLANGIR (ORISSA),BOLANGIR,BALANGIR ,ORISSA
UTIB0000679,AXIS BANK LTD,UTIB0000679,NON-MICR,GUNA,GUNA,GUNA,MADHYA PRADESH
UTIB0000680,AXIS BANK LTD,UTIB0000680,380211014,CHHATRAL,AHMEDABAD,ETAH,UTTAR PRADESH
UTIB0000681,AXIS BANK LTD,UTIB0000681,NON-MICR,RAI BARELI,RAE BARELI,RAEBAREILI ,UTTAR PRADESH
UTIB0000682,AXIS BANK LTD,UTIB0000682,794211999,TURA (MEGHALAYA),TURA,WEST GARO HILL,MEGHALAYA
UTIB0000683,AXIS BANK LTD,UTIB0000683,751211001,BHUBANESWAR (SERVICE BRANCH),BHUBANESWAR,KHURDA,ORISSA
UTIB0000684,AXIS BANK LTD,UTIB0000684,NON-MICR,SEHORE,SEHORE,SEHORE,MADHYA PRADESH
UTIB0000685,AXIS BANK LTD,UTIB0000685,143211003,"CITY CENTER, AMRITSAR",AMRITSAR,AMRITSAR ,PUNJAB
UTIB0000686,AXIS BANK LTD,UTIB0000686,NON-MICR,HANUMANGARH,HANUMANGARH,HANUMANGARH,RAJASTHAN
UTIB0000687,AXIS BANK LTD,UTIB0000687,500211017,PATANCHERU,MEDAK,MEDAK,ANDHRA PRADESH
UTIB0000688,AXIS BANK LTD,UTIB0000688,NON-MICR,"MAYILADUTHURAI, TAMIL NADU",MAYURAM(MAYILADUTHURAI),NAGAPATTINAM,TAMIL NADU
UTIB0000689,AXIS BANK LTD,UTIB0000689,NON-MICR,"RASIPURAM, TAMIL NADU",RASIPURAM,NAMAKKAL,TAMIL NADU
UTIB0000690,AXIS BANK LTD,UTIB0000690,NON-MICR,"TIRUCHENGODE, TAMIL NADU",TIRUCHENGODU,NAMAKKAL,TAMIL NADU
UTIB0000691,AXIS BANK LTD,UTIB0000691,682211005,"PALARIVATTOM, KERALA",KOCHI,ERNAKULAM,KERALA
UTIB0000692,AXIS BANK LTD,UTIB0000692,NON-MICR,"SODAL ROAD, JALANDHAR",JALANDHAR,JALANDHAR,PUNJAB
UTIB0000693,AXIS BANK LTD,UTIB0000693,682211005,"MAJESTIC, BANGALORE",BANGALORE,BANGALORE URBAN,KARNATAKA
UTIB0000694,AXIS BANK LTD,UTIB0000694,695211003,KARAMANA,KARAMANA,THIRUVANANTHAPURAM,KERALA
UTIB0000695,AXIS BANK LTD,UTIB0000695,400211059,CHURCHGATE,MUMBAI,GREATER MUMBAI,MAHARASHTRA
UTIB0000696,AXIS BANK LTD,UTIB0000696,110211058,"UTTAM NAGAR, NEW DELHI",NEW DELHI,NEW DELHI,DELHI
UTIB0000697,AXIS BANK LTD,UTIB0000697,626211053,"RAJAPALAYAM, TAMIL NADU",RAJAPALAYAM,VIRUDHUNAGAR,TAMIL NADU
UTIB0000698,AXIS BANK LTD,UTIB0000698,500211018,BALANAGAR,BALANAGAR,RANGA REDDY,ANDHRA PRADESH
UTIB0000699,AXIS BANK LTD,UTIB0000699,450211999,KHANDWA,KHANDWA,KHANDWA ,MADHYA PRADESH
UTIB0000700,AXIS BANK LTD,UTIB0000700,758211999,KEONJHAR -ORISSA,KEONJHAR,KEONJHAR,ORISSA
