ID,BANK NAME,IFSC_CODE,MICR_CODE,BRANCH_NAME,POSTAL ADDRESS,CONTACT NO/FAX NO,CENTRE/CITY,DISTRICT,STATE
KACE0000022,The Kangra Central Cooperative Bank Ltd,KACE0000022,176850055,DHAMETA,TEHSIL FATEHPUR DISTT. KANGRA H.P. 176025,SH. RAJESHWAR SINGH,DHAMETA,KANGRA,HIMACHAL PRADESH
KACE0000023,The Kangra Central Cooperative Bank Ltd,KACE0000023,176850053,DADA-SIBA,TEHSIL JASWAN DISTT. KANGRA H.P 177106,SH. APRMODH SINGH,DADA SIBA,KANGRA,HIMACHAL PRADESH
KACE0000024,The Kangra Central Cooperative Bank Ltd,KACE0000024,176850177,JAWALI,VPO JAWALI DISTT. KANGRA H.P.,SH. RANJIT PARIHAR,JAWALI,KANGRA,HIMACHAL PRADESH
KACE0000025,The Kangra Central Cooperative Bank Ltd,KACE0000025,177850021,BHORANJ,TESHIL BHORANJ DISTT. HAMIRPUR H.P. 176045,SH. SURESH CHAND`,BHORANJ,HAMIRPUR,HIMACHAL PRADESH
KACE0000026,The Kangra Central Cooperative Bank Ltd,KACE0000026,174850116,SANTOKHGARH,TESHIL & DISTT. UNA H.P. 174301,SMT. RAMAN RANI,SANTOKHGARH,UNA,HIMACHAL PRADESH
KACE0000027,The Kangra Central Cooperative Bank Ltd,KACE0000027,176850178,NAGROTA SURIAN,TEHSIL JAWALI DISTT. KANGRA H.P. 176027,SH. PARDEEP SINGH,NAGROTA SURIAN,KANGRA,HIMACHAL PRADESH
KACE0000028,The Kangra Central Cooperative Bank Ltd,KACE0000028,176850056,LOHARA,TEHSIL FATEHPUR DISTT. KANGRA H.P. 176053,SH. RAJINDER SINGH,FATEHPUR,KANGRA,HIMACHAL PRADESH
KACE0000030,The Kangra Central Cooperative Bank Ltd,KACE0000030,176850179,RAJA-KA-TALAB,TESHIL JAWALI DISTT. KANGRA H.P. 176051,SH. SURESH KUMAR,RAJA KA TALAB,KANGRA,HIMACHAL PRADESH
KACE0000031,The Kangra Central Cooperative Bank Ltd,KACE0000031,176850075,GANGATH,TEHSIL NURPUR DISTT. KANGRA H.P. 176204,SH. N.K PATHANIA,GANGATH,KANGRA,HIMACHAL PRADESH
KACE0000032,The Kangra Central Cooperative Bank Ltd,KACE0000032,176850076,JASSUR,TEHSIL NURPUR DISTT. KANGRA H.P. 176201,SH. ASWANI KUMAR,JASUR,KANGRA,HIMACHAL PRADESH
KACE0000033,The Kangra Central Cooperative Bank Ltd,KACE0000033,176850152,KANGRA,RAJPUT BHAWANKANGRAPO KANGRA DISTT KANGRA H.P.,SH SWROOOP SAINI,KANGRA,KANGRA,HIMACHAL PRADESH
KACE0000034,The Kangra Central Cooperative Bank Ltd,KACE0000034,174850104,BANGANA,TESHIL BANGANA DIST. UNA H.P. 174307,SH. GURDIAL SINGH,BANGANA,UNA,HIMACHAL PRADESH
KACE0000035,The Kangra Central Cooperative Bank Ltd,KACE0000035,175850052,MANALI,TEHSIL MANALI DISTT. KULLU 175131,SH. SARAN JEET SINGH,MANALI,KULLU,HIMACHAL PRADESH
KACE0000036,The Kangra Central Cooperative Bank Ltd,KACE0000036,177850013,BHIJARI,VPO BIJHARI TEHSIL BARSAR DISTT. KANGRA H.P.,SH. VINOD KUMAR,BIJHARI,HAMIRPUR,HIMACHAL PRADESH
KACE0000037,The Kangra Central Cooperative Bank Ltd,KACE0000037,,GAGRET,VPO GAGRET TEHSIL AMB DISTT UNA H.P. 177201,SH. INDERJIT,GAGRET,UNA,HIMACHAL PRADESH
KACE0000038,The Kangra Central Cooperative Bank Ltd,KACE0000038,175850006,NIRMAND,TESHIL NIRMAND DISTT. KULLU 172023,SH. NARINDER KUMAR,NIRMAND,KULLU,HIMACHAL PRADESH
KACE0000039,The Kangra Central Cooperative Bank Ltd,KACE0000039,176850180,BHARMAR,TEHSIL JAWALI DSITT. KANGRA H.P. 176021,SH. BHUPINDER KUMAR,BHARMAR,KANGRA,HIMACHAL PRADESH
KACE0000040,The Kangra Central Cooperative Bank Ltd,KACE0000040,176850066,RAIT,V PO RAITDISTT KANGRA H.P.,SHHEM RAJ,RAIT,KANGRA,HIMACHAL PRADESH
KACE0000041,The Kangra Central Cooperative Bank Ltd,KACE0000041,175850007,BHUNTER,TESHIL & DSITT. KULLU 175125,SH. LAL CHNAD,BHUNTAR,KULLU,HIMACHAL PRADESH
KACE0000042,The Kangra Central Cooperative Bank Ltd,KACE0000042,177850003,SUJANPUR TIRA,TESHIL SUJANPUR TIRA DISTT. HAMIRPUT 176314,SH. ASHOK KUMAR,SUJANPUR TIRA,HAMIRPUR,HIMACHAL PRADESH
KACE0000043,The Kangra Central Cooperative Bank Ltd,KACE0000043,176850181,HARSAR,TESHIL JAWALI DSITT. KANGRA,SH. CHANDER SHEKHAR,HARSAR,KANGRA,HIMACHAL PRADESH
KACE0000044,The Kangra Central Cooperative Bank Ltd,KACE0000044,176850160,RAKKAR,TEHAIL DEHRA DISTT. KANGRA H.P. 177043,SH. DAVINDER SINGH,RAKKAR,KANGRA,HIMACHAL PRADESH
KACE0000045,The Kangra Central Cooperative Bank Ltd,KACE0000045,177850014,DHANETA,VPO DHANETA TEHSIL NADAUN DISTT HAMIRPUR,SH. KISHORI LAL,DHANETA,HAMIRPUR,HIMACHAL PRADESH
KACE0000046,The Kangra Central Cooperative Bank Ltd,KACE0000046,177850015,GALORE,VPO GALORE DISTT. HAMIRPUR,SH. VINOD PAL,GALORE,HAMIRPUR,HIMACHAL PRADESH
KACE0000048,The Kangra Central Cooperative Bank Ltd,KACE0000048,174850110,HAROLI,TEHSIL HAROLI DISTT. UNA H.P. 177220,SH. SUKH RAM,HAROLI,UNA,HIMACHAL PRADESH
KACE0000049,The Kangra Central Cooperative Bank Ltd,KACE0000049,176850118,DHEERA,TEHSIL PALAMPUR DISTT. KANGRA H.P. 176101,SH. SUNIL RANA,DHEERA,KANGRA,HIMACHAL PRADESH
KACE0000050,The Kangra Central Cooperative Bank Ltd,KACE0000050,176850077,KOTLA,TEHSIL NURPUR DISTT. KANGRA H.P. 176205,SH. SARAVJIT SHARMA,KOTLA,KANGRA,HIMACHAL PRADESH
KACE0000051,The Kangra Central Cooperative Bank Ltd,KACE0000051,176850057,REHAN,TEHSIL NURPUR DISTT. KANGRA H.P. 176022,SH. KRISHAN CHAND,REHAN,KANGRA,HIMACHAL PRADESH
KACE0000052,The Kangra Central Cooperative Bank Ltd,KACE0000052,176850058,BADUKHAR,TESHIL INDORA DISTT KANGRA,SMT. TRIPTA DEVI,BADUKHAR,KANGRA,HIMACHAL PRADESH
KACE0000053,The Kangra Central Cooperative Bank Ltd,KACE0000053,176850154,JOURBAR,VILL JOURBAR PO TIPRI TEHSIL JASWAN DISTT. KANGRA H.P. 177112,SH. SANJEEV RANA,BATHU-TIPRI,KANGRA,HIMACHAL PRADESH
